day,exercise,reading
2023-06-27,TRUE,FALSE
2023-06-26,FALSE,FALSE
2023-06-25,FALSE,FALSE
2023-06-24,TRUE,FALSE
2023-06-23,TRUE,FALSE
2023-06-22,TRUE,FALSE
2023-06-21,FALSE,FALSE
2023-06-20,FALSE,FALSE
2023-06-19,TRUE,FALSE
2023-06-18,FALSE,FALSE
2023-06-17,FALSE,FALSE
2023-06-16,FALSE,FALSE
2023-06-15,FALSE,FALSE
2023-06-14,TRUE,FALSE
2023-06-13,FALSE,FALSE
2023-06-12,FALSE,FALSE
2023-06-11,TRUE,FALSE
2023-06-10,FALSE,FALSE
2023-06-09,TRUE,FALSE
2023-06-08,TRUE,TRUE
2023-06-07,TRUE,FALSE
2023-06-06,FALSE,FALSE
2023-06-05,FALSE,FALSE
2023-06-04,TRUE,TRUE
2023-06-03,FALSE,FALSE
2023-06-02,FALSE,FALSE
2023-06-01,FALSE,FALSE
2023-05-31,FALSE,FALSE
2023-05-30,FALSE,FALSE
2023-05-29,TRUE,FALSE
2023-05-28,FALSE,FALSE
2023-05-27,FALSE,FALSE
2023-05-26,FALSE,FALSE
2023-05-25,TRUE,FALSE
2023-05-24,FALSE,FALSE
2023-05-23,FALSE,FALSE
2023-05-22,FALSE,FALSE
2023-05-21,FALSE,FALSE
2023-05-20,TRUE,FALSE
2023-05-19,TRUE,TRUE
2023-05-18,FALSE,TRUE
2023-05-17,FALSE,FALSE
2023-05-16,FALSE,FALSE
2023-05-15,FALSE,FALSE
2023-05-14,FALSE,FALSE
2023-05-13,TRUE,FALSE
2023-05-12,TRUE,FALSE
2023-05-11,TRUE,TRUE
2023-05-10,TRUE,TRUE
2023-05-09,FALSE,TRUE
2023-05-08,TRUE,TRUE
2023-05-07,TRUE,TRUE
2023-05-06,FALSE,FALSE
2023-05-05,TRUE,FALSE
2023-05-04,TRUE,FALSE
2023-05-03,TRUE,FALSE
2023-05-02,FALSE,TRUE
2023-05-01,FALSE,FALSE
2023-04-30,TRUE,TRUE
2023-04-29,FALSE,TRUE
2023-04-28,TRUE,TRUE
2023-04-27,TRUE,TRUE
2023-04-26,TRUE,TRUE
2023-04-25,TRUE,FALSE
2023-04-24,TRUE,TRUE
2023-04-23,TRUE,TRUE
2023-04-22,TRUE,TRUE
2023-04-21,TRUE,TRUE
2023-04-20,TRUE,TRUE
2023-04-19,FALSE,TRUE
2023-04-18,TRUE,TRUE
2023-04-17,TRUE,TRUE
2023-04-16,FALSE,FALSE
2023-04-15,TRUE,FALSE
2023-04-14,TRUE,FALSE
2023-04-13,TRUE,FALSE
2023-04-12,TRUE,TRUE
2023-04-11,TRUE,FALSE
2023-04-10,FALSE,TRUE
2023-04-09,TRUE,TRUE
2023-04-08,FALSE,TRUE
2023-04-07,FALSE,TRUE
2023-04-06,TRUE,FALSE
2023-04-05,TRUE,TRUE
2023-04-04,FALSE,TRUE
2023-04-03,FALSE,TRUE
2023-04-02,TRUE,TRUE
2023-04-01,TRUE,TRUE
2023-03-31,TRUE,TRUE
2023-03-30,TRUE,TRUE
2023-03-29,FALSE,FALSE
2023-03-28,FALSE,FALSE
2023-03-27,FALSE,TRUE
2023-03-26,TRUE,TRUE
2023-03-25,TRUE,TRUE
2023-03-24,TRUE,TRUE
2023-03-23,FALSE,TRUE
2023-03-22,TRUE,TRUE
2023-03-21,TRUE,FALSE
2023-03-20,FALSE,FALSE
2023-03-19,TRUE,TRUE
2023-03-18,FALSE,FALSE
2023-03-17,FALSE,TRUE
2023-03-16,FALSE,FALSE
2023-03-15,TRUE,TRUE
2023-03-14,TRUE,FALSE
2023-03-13,FALSE,TRUE
2023-03-12,TRUE,FALSE
2023-03-11,FALSE,TRUE
2023-03-10,FALSE,TRUE
2023-03-09,FALSE,TRUE
2023-03-08,TRUE,FALSE
2023-03-07,TRUE,TRUE
2023-03-06,TRUE,FALSE
2023-03-05,FALSE,TRUE
2023-03-04,TRUE,TRUE
2023-03-03,TRUE,TRUE
2023-03-02,TRUE,TRUE
2023-03-01,TRUE,TRUE
2023-02-28,FALSE,TRUE
2023-02-27,FALSE,TRUE
2023-02-26,FALSE,TRUE
2023-02-25,TRUE,TRUE
2023-02-24,FALSE,TRUE
2023-02-23,TRUE,TRUE
2023-02-22,FALSE,TRUE
2023-02-21,FALSE,TRUE
2023-02-20,FALSE,FALSE
2023-02-19,FALSE,TRUE
2023-02-18,FALSE,TRUE
2023-02-17,FALSE,FALSE
2023-02-16,FALSE,TRUE
2023-02-15,FALSE,TRUE
2023-02-14,FALSE,FALSE
2023-02-13,TRUE,TRUE
2023-02-12,TRUE,FALSE
2023-02-11,FALSE,FALSE
2023-02-10,TRUE,FALSE
2023-02-09,FALSE,TRUE
2023-02-08,FALSE,TRUE
2023-02-07,FALSE,FALSE
2023-02-06,TRUE,TRUE
2023-02-05,FALSE,TRUE
2023-02-04,TRUE,FALSE
